窗口名,地点,餐品,价格
,,黄金鸡叉骨,9.9元/半斤
,,黄金香骨鸡,9.9元/半斤
,,黄金脆皮鸡,16.8元/只
,,黄金鸡肉条,12.5元/半斤
,,黄金鸡翅中,12元/3个
,,甘梅地瓜条,9.9元/半斤
,,无骨鸡柳,9.9元/半斤
烤盘饭·重庆鸡公煲,一食堂三楼,鸡公煲 小份/中份/大份,15/25/35元
,,瘦肉煲 小份/中份/大份,18/28/40元
,,排骨煲 小份/中份/大份,25/36/46元
,,牛腩煲 小份/中份/大份,25/36/46元
,,猪蹄煲 小份/中份/大份,25/36/46元
,,鸡翅煲 小份/中份/大份,26/38/48元
,,米饭,1元
,,另加荤菜、素菜、粉面、豆制品等配菜,3元
,,烤盘饭系列荤素任选4两,9.9元
大火灶,一食堂,一荤一素,7.5元
,,一荤两素,8.5元
,,二荤一素,9.5元
,,二荤二素,10.5元
,,三荤,11.5元
,,三荤一素,12.5元
,,干锅牛腩,15元
,,干锅腊肠,15元
,,干锅鸭肠,14元
,,干锅鱿鱼丝,14元
,,干锅猪脚,15元
,,干锅鸡,13元
,,干锅啤酒鸭,14元
,,干锅腊鱼,10元
,,干锅杏鲍菇,8元
,,干锅千页豆腐,8元
,,干锅牛蛙,14元
,,干锅鸡翅,14元
,,干锅卤牛肉,15元
,,干锅茶树菇五花肉,10元
,,干锅白菜梗炒肉,8元
,,干锅鹿茸菇五花肉,10元
,,干锅莴笋腊肉,14元
,,干锅狮子头(2个),6元
水煮鱼,一食堂三楼,水煮千页豆腐,9元
,,水煮鱼丸,10元
,,水煮牛肉丸,10元
,,水煮鱼豆腐,10元
,,水煮猪肝,11元
,,水煮鸡胸肉,12元
,,水煮鱼片,13元
,,水煮肉片,13元
,,水煮无骨鱼,14元
,,鱼肉双拼,14元
,,水煮肥牛,15元
,,水煮牛蛙,15元
袁记云饺,一食堂一楼,玉米鲜肉大云吞（10颗）,14元
,,玉米鲜肉大云吞（15颗）,18元
,,马蹄鲜肉大云吞（10颗）,14元
,,马蹄鲜肉大云吞（15颗）,18元
,,鲜肉大云吞（10颗）,14元
,,鲜肉大云吞（15颗）,18元
,,香菇木耳滑鸡大云吞（10颗）,14元
,,香菇木耳滑鸡大云吞（15颗）,18元
,,全家福大云吞（10颗）,14元
,,全家福大云吞（15颗）,18元
,,玉米鲜肉饺（10颗）,12元
,,玉米鲜肉饺（15颗）,16元
,,韭菜鲜肉饺（10颗）,12元
,,韭菜鲜肉饺（15颗）,16元
,,香芋鲜肉饺（10颗）,12元
,,香芋鲜肉饺（15颗）,16元
,,白菜鲜肉饺（10颗）,12元
,,白菜鲜肉饺（15颗）,16元
,,芹菜鲜肉饺（10颗）,12元
,,芹菜鲜肉饺（15颗）,16元
,,冬菇马蹄鲜肉饺（10颗）,12元
,,冬菇马蹄鲜肉饺（15颗）,16元
,,香菇木耳滑鸡饺（10颗）,12元
,,香菇木耳滑鸡饺（15颗）,16元
,,全家福饺子（10颗）,12元
,,全家福饺子（15颗）,16元
,,鲜虾蟹籽云吞面,14元
,,鲜肉云吞面,12元
,,经典肉沫拌面,9.9元
,,剁椒肉沫拌面,9.9元
,,葱葱肉沫拌面,9.9元
,,绿豆莲子糖水,5.9元
,,红豆莲子糖水,5.9元
,,枸杞甜酒汤圆,7.9元
,,网红混酱花生汤圆,7.9元
南方面点,一食堂一楼,鲜肉包,2元
,,榨菜肉包,2元
,,梅菜肉包,2元
,,酸菜包,1.5元
,,青菜包,1.5元
,,豆沙包,1.5元
,,粉丝包,1.5元
,,煎包,2元
,,红糖馒头,1.5元
,,白馒头,1元
,,红枣发糕,2元
,,糯米鸡,4元
,,煎蒸饺,5元/8个
,,玉米棒,4元
,,白水蛋,1.5元
,,茶叶蛋,1.5元
,,八宝粥,2元/碗（2.5元）
,,黑米粥,2元/碗（2.5元）
,,绿豆沙,2元/碗（2.5元）
,,豆浆,2元
,,酱香饼,3元
,,油条,2元
,,麻团,2元
,,南瓜饼,2元
,,马蹄酥,2元
,,牛肉饼,4元
,,韭菜鸡蛋饼,3元
,,梅菜肉饼,3.5元
,,手抓饼,5.5元
,,土豆丝饼,3.5元
无名氏（粉面手工）,一食堂一楼,炒粉（面）,8元
,,炒米线,8元
,,炒方便面,8元
,,麻辣牛肉粉（面）,12元
,,红烧牛杂粉（面）,12元
,,红烧肉粉（面）,9元
,,红烧排骨粉（面）,9元
,,辣子鸡丁粉（面）,8元
,,肉沫粉（面）,8元
,,辣椒炒肉粉（面）,7元
,,木耳炒肉粉（面）,7元
,,香干炒肉粉（面）,7元
,,脆皮豆腐粉（面）,7元
,,番茄炒蛋粉（面）,7元
,,海带丝粉（面）,7元
,,酸辣粉,7元
,,卤粉（面）,7元
,,热干面,7元
,,杂酱面,9元
,,馄饨大份,10元/22个
,,馄饨小份,8元/16个
,,水饺大份,10元/22个
,,水饺小份,8元/16个
,,煎鸡蛋,1.5元/个
,,虎皮鸡蛋,1.5元/个
,,加量,1元
,,打包碗,0.5元/个
烤肉虾仁捞双拌饭,一食堂一楼,麻辣虾仁饭,14元
,,土豆牛肉饭,14元
,,金汤酸菜鱼饭,14元
,,港式叉烧饭,14元
,,香辣鱿鱼饭,14元
,,黑椒腿排饭,13元
,,蜜汁可乐鸡饭,13元
,,新疆烤肉饭,13元
,,黑椒里脊饭,13元
,,孜然鸡柳饭,13元
,,椒麻辣子鸡饭,13元
,,烤鸭腿饭,11元
,,黄金炸鸡腿饭,10元
,,红椒卤肉饭,8元
,,糖醋咕噜肉饭,8元
,,香卤鸡腿饭,8元
,,下饭肉肠饭,8元
,,农家一碗香饭,8元
,,香酥鸭饭,8元
,,香辣里脊肉饭,8元
,,辣椒炒肉饭,8元
,,香菇滑鸡饭,8元
,,香酥鸡排饭,8元
,,备注：所有产品可任意双拼，打包费0.5元，分装1元,
大伙灶,一食堂一楼,一荤一素,7.5元
,,一荤两素,8.5元
,,二荤一素,9.5元
,,二荤二素,10.5元
,,三荤,11.5元
,,三荤一素,12.5元
,,干锅牛腩,15元
,,干锅腊肠,15元
,,干锅鸭肠,14元
,,干锅鱿鱼丝,14元
,,干锅猪脚,15元
,,干锅鸡,13元
,,干锅啤酒鸭,14元
,,干锅腊鱼,10元
,,干锅杏鲍菇,8元
,,干锅千叶豆腐,8元
,,干锅牛蛙,14元
,,干锅鸡翅,14元
,,干锅卤牛肉,15元
,,干锅茶树菇五花肉,10元
,,干锅白菜梗炒肉,8元
,,干锅鹿茸菇五花肉,10元
,,干锅莴笋腊肉,14元
,,干锅狮子头（2个）,6元
湘味蒸菜,一食堂一楼,蒸鸡蛋,2元
,,蒸南瓜,2元
,,上海青,2元
,,空心菜,2元
,,手撕包菜,2元
,,韭菜炒豆芽,2元
,,酸辣土豆丝,2元
,,大白菜,2元
,,西兰花,3元
,,苦瓜炒肉,3元
,,麻婆豆腐,3元
,,清炒藕片,3元
,,包菜粉丝,3元
,,茄子豆角,3元
,,红烧冬瓜,3元
,,肉沫鸡蛋,3元
,,黄瓜炒火腿,3元
,,青椒炒鸡蛋,3元
,,韭菜煎鸡蛋,3元
,,胡萝卜炒肉,3元
,,清炒莴笋丝,3元
,,西红柿炒鸡蛋,3元
,,千叶豆腐,4元
,,蒜苗炒肉,4元
,,千张炒肉,4元
,,花菜炒肉,4元
,,香菇炒肉,4元
,,玉米排骨汤,4元
,,海带排骨汤,4元
,,莲藕排骨汤,4元
,,土豆片炒肉,4元
,,木耳炒山药,4元
,,长豆角炒肉,4元
,,黑木耳炒肉,4元
,,小炒玉米粒,4元
,,油豆腐炒肉,4元
,,香干子炒肉,4元
,,花甲,5元
,,小酥肉,5元
,,糍粑鱼,5元
,,酸辣鸡杂,5元
,,水煮鱼片,5元
,,红烧鱼块,5元
,,爆炒鱿鱼,5元
,,香辣脆香鸡,5元
,,口水鸡,6元
,,肉丸子,6元
,,红烧肉,6元
,,啤酒鸭,6元
,,手撕鸡,6元
,,爆炒牛肉,6元
,,土豆烧鸡,6元
,,辣子鸡丁,6元
刘记烧腊饭,一食堂一楼,蜜汁烧鸡,12元
,,招牌叉烧,12元
,,脆皮烤鸭,12元
,,五香扒鸡,12元
,,卤味猪肘,12元
,,江西牛肉,12元
,,湘味酱板鸭,12元
,,手撕鸡,10元
,,白切鸡,10元
,,香辣鸭腿,10元
,,酱香鸡腿,10元
,,干锅鸭翅根,10元
,,腊味腊肠,10元
,,任意双拼,13元
,,任意三拼,15元
,,青椒肉丝,9元
,,鱼香肉丝,9元
,,香酥鸡排,9元
,,宫保鸡丁,9元
,,回锅肉,9元
,,腐竹肉片,9元
,,红烧鱼块,9元
,,辣子鸡,9元
,,擂椒皮蛋,9元
,,豆角炒肉,9元
,,米饭,1元管饱
,,打包,另加1元
大伙灶,一食堂二楼,一荤一素,7.5元
,,一荤两素,8.5元
,,二荤一素,9.5元
,,二荤二素,10.5元
,,三荤,11.5元
,,三荤一素,12.5元
,,干锅牛腩,15元
,,干锅腊肠,15元
,,干锅鸭肠,14元
,,干锅鱿鱼丝,14元
,,干锅猪脚,15元
,,干锅鸡,13元
,,干锅啤酒鸭,14元
,,干锅腊鱼,10元
,,干锅杏鲍菇,8元
,,干锅千叶豆腐,8元
,,干锅牛蛙,14元
,,干锅鸡翅,14元
,,干锅卤牛肉,15元
,,干锅茶树菇五花肉,10元
,,干锅白菜梗炒肉,8元
,,干锅鹿茸菇五花肉,10元
,,干锅莴笋腊肉,14元
,,干锅狮子头（2个）,6元
韩国料理,一食堂二楼,韩式石锅拌饭,9.9元
,,韩式肥牛石锅拌饭,16元
,,韩式辣炒鱿鱼石锅拌饭,16元
,,韩式培根石锅拌饭,14元
,,韩式鸡肉石拌饭,14元
,,泡菜五花肉石锅拌饭,14元
,,泡菜鸡肉石锅拌饭,14元
,,泡菜猪肉石锅拌饭,14元
,,泡菜肥牛石锅拌饭,16元
,,韩式辛拉面,12元
,,韩式辛拉面水饺,14元
重庆小面,一食堂二楼,生烫肥牛小面,12元
,,生烫肥羊小面,12元
,,红油鲜肉抄手（小份12个）,9元
,,红油鲜肉抄手（大份18个）,12元
,,清汤鲜肉抄手（小份12个）,19元
,,清汤鲜肉抄手（大份18个）,12元
,,麻辣干拌抄手（小份12个）,9元
,,麻辣干拌抄手（大份18个）,12元
,,重庆小面,6元
,,豌豆小面,7元
,,豌豆炸酱小面,8元
,,重庆炸酱面,8元
,,辣椒炒肉小面,7元
,,鲜肉鸡蛋小面,8元
,,辣炒脆皮肠小面,9元
,,麻椒鸡肉小面,10元
,,酱香猪骨小面,12元
,,秘制牛杂小面,13元
,,生切牛肉小面,12元
,,生切猪肉小面,10元
,,煎蛋,1.5元
,,卤蛋,1.5元
饭拾一五花肉拌饭,一食堂二楼,五花肉拌饭,11元
,,鸡腿肉拌饭,11元
,,烤鸭拌饭,11元
,,脆舌拌饭,11元
,,香辣肉片拌饭,11元
,,鸡胗拌饭,11元
,,猪梅花肉拌饭,11元
,,豆芽,2元
,,韭菜,2元
,,金针菇,2元
,,香菇,2元
,,生菜,2元
,,豆干,2元
,,泡面,2元
,,娃娃菜,2元
,,素菜五拼,2元
,,卤煎蛋,1.5元
,,卤肉肠,3元
,,卤鸭叉骨,3元
,,卤小鸡腿,3元
柳无双柳州螺蛳粉,一食堂二楼,招牌柳州螺蛳粉,11元
,,煎蛋螺蛳粉,12.5元
,,豆腐串螺蛳粉,13元
,,虎皮凤爪螺蛳粉,15元
,,火山石烤肠螺蛳粉,15元
,,螺肉螺蛳粉,18元
,,广西锅烧螺蛳粉,17元
,,网红炸蛋螺蛳粉,15元
,,鸭脚螺蛳粉,15元
,,干捞螺肉螺蛳粉,19元
,,招牌干捞螺蛳粉,12元
,,干捞鸭脚螺蛳粉,16元
,,干捞锅烧螺蛳粉,18元
,,老上海葱油拌面/粉,10元
,,火腿葱油拌面/粉,12元
,,鸡丝葱油拌面/粉,13元
,,卤蛋,1.5元
,,豆泡,2元
,,豆腐串,2元
,,台湾热狗,2元
,,牛肉丸,3元
,,广式瘦肉叉烧,6元
,,墨鱼丸,3元
,,鱼丸,3元
,,藤椒鸡排,4元
,,柳州带皮鸭掌,4元
,,虎皮凤爪,4元
,,火山石烤肠,4元
,,广式腊肠,3元
,,火腿肠,2元
,,卤鸭腿,8元
,,秘制螺肉,7元
,,花生,2元
,,木耳,2元
,,酸豆角,2元
,,酸笋,2元
,,腐竹,2元
,,青菜,2元
,,秘卤鸡腿,6元
,,广西锅烧,6元
,,广西炸猪脚,12元
,,煎蛋,1.5元
隆江猪脚饭,一食堂二楼,猪蹄饭,20元
,,四点金饭,20元
,,隆江猪脚饭,15元
,,五香肥肠饭,15元
,,梅菜扣肉饭,12元
,,台湾卤肉饭,13元
,,广式腊肠饭,12元
,,香菇滑鸡饭,10元
,,豉香鸭腿饭,10元
,,麻香鸡腿饭,10元
,,卤鸡蛋豆干饭,10元
,,豉味排骨饭,15元
,,治味粉肠饭,12元
,,红烧茄子饭,10元
,,潮汕肉卷饭,12元
烧腊饭套餐,一食堂二楼,招牌烤鸭+两配菜,12元
,,特色叉烧+两配菜,15元
,,脆皮五花肉+两配菜,16元
,,特色白切鸡+两配菜,13元
,,猪肘饭+两配菜,15元
,,蜜汁烧鸡+两配菜,13元
,,奥尔良鸡腿+两配菜,13元
,,香辣鸭腿+两配菜,13元
,,盐焗鸡腿+两配菜,13元
,,卤牛肉+两配菜,20元
,,烧鹅饭+两配菜,16元
,,叉烧双拼+两配菜,18元
,,鸡鸭双拼+两配菜,16元
,,唐人神腊肠+两配菜,12元
,,米饭免费,
小碗当家,一食堂二楼,土豆片炒肉,4元
,,四季豆炒肉,4元
,,长豆角炒肉,4元
,,香菇炒肉,4元
,,平菇炒肉,4元
,,黑木耳炒肉,4元
,,香干炒肉,4元
,,千张皮炒肉,4元
,,腐竹炒肉,4元
,,胡萝卜炒肉,4元
,,莴笋炒肉,4元
,,金针菇肉末,4元
,,蒸香芋肉末,4元
,,蒸芋头肉末,4元
,,玉米排骨汤,4元
,,莲藕排骨汤,4元
,,海带排骨汤,4元
,,香菇鸡汤,4元
,,花甲,5元
,,小酥肉,5元
,,糍粑鱼块,5元
,,酸辣鸡杂,5元
,,水煮鱼片,5元
,,红烧鱼块,5元
,,脆香鸡,5元
,,雪花鸡排,5元
,,啤酒鸭,5元
,,腊肠,5元
,,锅包肉,5元
,,辣子鸡丁,5元
,,红烧肉,5元
,,粉蒸排骨,6元
,,孜然肉片,6元
,,小鱼小虾,6元
,,糖醋里脊,6元
,,爆炒肉肠,6元
,,粉蒸肉,6元
,,爆炒牛蛙,7元
,,红烧牛腩,7元
,,虎皮凤爪,7元
,,爆炒黄牛肉,7元
,,爆炒鱿鱼,7元
湘乡银丝粉,一食堂二楼,木耳肉丝粉/面,8元
,,老坛酸菜粉/面,8元
,,杂酱粉/面,8元
,,辣椒炒肉粉/面,7元
,,酸辣鸡杂粉/面,10元
,,鸡蛋肉丝粉/面,8元
,,香菇鸡丁粉/面,10元
,,红烧牛肉粉/面,12元
,,卤蛋,1.5元
,,荷包蛋,1.5元
,,兰花干,1.5元
,,热狗,1.5元
包点很忙,一食堂二楼,牛肉包,2.5元
,,辣椒炒肉包,2元
,,玉米肉包,2元
,,鲜肉包,2元
,,香菇青菜包,1.5元
,,粉丝包,1.5元
,,酸菜包,1.5元
,,榨菜包,1.5元
,,热狗卷,1.5元
,,豆沙包,1.5元
,,奶黄包,1.5元
,,花卷,1.5元
,,红糖馒头,1.5元
,,白馒头,1元
,,小笼包（6个）,5元
,,蒸饺（8个）,5元
,,油炸烧麦,2元
,,烧麦,1.5元
,,油条,2元
,,南瓜饼,2元
,,芝麻球,2元
,,发糕,2.5元
,,桂花糕,2元
,,豆浆,2元
,,玉米棒,3.5元
,,水煮蛋,1.5元
,,卤蛋,1.5元
,,黑豆奶,2元
,,酸梅汤,2元
,,绿豆粥（杯/碗）,2/2.5元
,,小米粥（杯/碗）,2/2.5元
,,黑米粥（杯/碗）,2/2.5元
,,牛奶燕麦粥（杯/碗）,2/2.5元
,,八宝粥（杯/碗）,2/2.5元
,,绿豆沙冰,2.5元
,,红糖开花馒头,2元
,,香辣花卷,2元
,,南瓜馒头,2元
,,窝窝头,2元
,,核桃包,3元
牛鲜生粉面,一食堂三楼,招牌牛肉汤粉/面,15元
,,招牌鲜牛肉粉/面,15元
,,招牌香辣牛肉粉/面,15元
,,鲜牛肉拼香辣牛肉粉/面,15元
,,鸭子拼排骨面/粉,13元
,,鸭子拼香辣牛肉面/粉,14元
,,排骨拼香辣牛肉面/粉,14元
,,原味粉/面,7元
,,三鲜粉/面,8元
,,香干炒肉粉/面,8元
,,辣椒炒肉粉/面,7元
,,长沙鸭子粉/面,10元
,,红烧排骨粉/面,11元
,,口味牛杂粉/面,13元
,,墨鱼猪肚粉/面,15元
里手馄饨粉面,一食堂三楼,麻辣牛肉粉（面）,12元
,,红烧牛肉粉（面）,12元
,,荞麦面,10元
,,红烧肉粉（面）,9元
,,红烧排骨粉（面）,9元
